Article Title,Source Title,"Times Cited, All Databases",Publication Year
metaTIGER: a metabolic evolution resource,NUCLEIC ACIDS RESEARCH,27,2009
A new model for ecological networks using species-level traits,METHODS IN ECOLOGY AND EVOLUTION,18,2016
Systems biology-based discovery of a potential Atg4B agonist (Flubendazole) that induces autophagy in breast cancer,MOLECULAR BIOSYSTEMS,48,2015
Contrasting effects of frugivore assemblages and phylogeny on global variation in fruit length and width,GLOBAL ECOLOGY AND BIOGEOGRAPHY,0,2024
Insights into the assembly rules of a continent-wide multilayer network,NATURE ECOLOGY & EVOLUTION,45,2019
Binary sequences-based approach for construction of evolutionary network,INTERNATIONAL JOURNAL OF BIOMATHEMATICS,0,2014
Molecular network-based intervention brings us closer to ending the HIV pandemic,FRONTIERS OF MEDICINE,25,2020
Long-read genotyping with SLANG (Simple Long-read loci Assembly of Nanopore data for Genotyping),APPLICATIONS IN PLANT SCIENCES,5,2022
A study on the phylogeny and phylogeography of a marine cosmopolite diatom from the southern Black Sea,OCEANOLOGICAL AND HYDROBIOLOGICAL STUDIES,4,2013
Phylogeographic Patterns of Haemoproteid Assemblages of Selected Avian Hosts: Ecological and Evolutionary Implications,MICROORGANISMS,1,2022
On cherry-picking and network containment,THEORETICAL COMPUTER SCIENCE,13,2021
A HIERARCHICAL BAYESIAN MODEL FOR PREDICTING ECOLOGICAL INTERACTIONS USING SCALED EVOLUTIONARY RELATIONSHIPS,ANNALS OF APPLIED STATISTICS,12,2020
Genomic Origin and Diversification of the Glucosinolate MAM Locus,FRONTIERS IN PLANT SCIENCE,11,2020
INTRASPECIFIC PHYLOGENETICS - SUPPORT FOR DENTAL TRANSMISSION OF HUMAN-IMMUNODEFICIENCY-VIRUS,JOURNAL OF VIROLOGY,37,1995
Revealing effective classifiers through network comparison,EPL,8,2014
Parallel implementation of D-Phylo algorithm for maximum likelihood clusters,IET NANOBIOTECHNOLOGY,1,2017
"Genetic polymorphism, haplotype distribution, and phylogeny of Daphnia (Cladocera: Anomopoda) species from the water bodies of russia as inferred from the 16S mtDNA gene sequencing",RUSSIAN JOURNAL OF GENETICS,12,2016
Phylogenetic and biogeographical review of the Drepanocerina (Coleoptera: Scarabaeidae: Oniticellini),ARTHROPOD SYSTEMATICS & PHYLOGENY,11,2015
Systematic analysis of differentially expressed ZmMYB genes related to drought stress in maize,PHYSIOLOGY AND MOLECULAR BIOLOGY OF PLANTS,8,2021
High Throughput Sequencing and Network Analysis Disentangle the Microbial Communities of Ticks and Hosts Within and Between Ecosystems,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,52,2018
"Intraspecific Relationships of Populations of the Brown Frog Rana sauteri (Ranidae) on Taiwan, Inferred from Mitochondrial Cytochrome b Sequences",ZOOLOGICAL SCIENCE,12,2009
"Morphological and multigene phylogenetic analyses reveal two new nematode- trapping fungi (Arthrobotrys, Orbiliaceae) from Yunnan, China",PHYTOTAXA,3,2023
"Morphological Changes in the Pregnant Uterus of the Smooth Hound Dogfish Mustelus schmitti Springer, 1939 (Gatuzo) (Condrichthyes, Triakidae). Microscopic Study and Phylogenetic Reproductive Implications",INTERNATIONAL JOURNAL OF MORPHOLOGY,14,2010
"Morphological and Phylogenetic Characterization of Five Novel Nematode-Trapping Fungi (Orbiliomycetes) from Yunnan, China",JOURNAL OF FUNGI,3,2023
"Description of Haemoproteus asymmetricus n. sp. (Haemoproteidae), with remarks on predictability of the DNA haplotype networks in haemosporidian parasite taxonomy research",ACTA TROPICA,12,2021
"Node-depth phylogenetic-based encoding, a spanning-tree representation for evolutionary algorithms. part I: Proposal and properties analysis",SWARM AND EVOLUTIONARY COMPUTATION,7,2016
Deep Learning and Likelihood Approaches for Viral Phylogeography Converge on the Same Answers Whether the Inference Model Is Right or Wrong,SYSTEMATIC BIOLOGY,0,2024
"Anadromy and heterogenous population of a tropical shad Tenualosa ilisha in Malaysia, as revealed by otolith microchemistry and molecular evidence",JOURNAL OF FISH BIOLOGY,7,2019
Mitochondrial DNA control region variability of wild boar Sus scrofa with various external phenotypes in Turkey,TURKISH JOURNAL OF ZOOLOGY,4,2016
"Methamphetamine injecting is associated with phylogenetic clustering of hepatitis C virus infection among street-involved youth in Vancouver, Canada",DRUG AND ALCOHOL DEPENDENCE,28,2015
Inferring functional linkages between proteins from evolutionary scenarios,JOURNAL OF MOLECULAR BIOLOGY,30,2006
COMPARATIVE ANALYSES OF PHYLOGENETIC EFFECTS IN THE LIFE-HISTORY PATTERNS OF IGUANID REPTILES,AMERICAN NATURALIST,88,1992
A phylogenetic approach to the early evolution of autotrophy: the case of the reverse TCA and the reductive acetyl-CoA pathways,INTERNATIONAL MICROBIOLOGY,24,2014
Molecular Identification and Genetic Variation of Rattus Species From Oil Palm Plantations of Malaysia Based on Mitochondrial Cytochrome Oxidase Subunit I (COI) Gene Sequences,ZOOLOGICAL SCIENCE,0,2022
Phylogenetic Reconstruction of the Rainforest Lineage Fontainea Heckel (Euphorbiaceae) Based on Chloroplast DNA Sequences and Reduced-Representation SNP Markers,DIVERSITY-BASEL,6,2022
An exploratory algorithm to identify intra-host recombinant viral sequences,MOLECULAR PHYLOGENETICS AND EVOLUTION,32,2008
"Phylogenetic relationships, hybridization events, and drivers of diversification of East Asian wild grapes as revealed by phylogenomic analyses",JOURNAL OF SYSTEMATICS AND EVOLUTION,7,2023
Pollinator intraspecific body size variation and sociality influence their interactions with plants,FUNCTIONAL ECOLOGY,0,2024
Inference of reticulate evolutionary histories by maximum likelihood: the performance of information criteria,BMC BIOINFORMATICS,6,2012
Phylogeny and species delimitation of the genus Longgenacris and Fruhstorferiola viridifemorata species group (Orthoptera: Acrididae: Melanoplinae) based on molecular evidence,PLOS ONE,7,2020
An integrative approach method reveals the presence of a previously unreported species of Imparfinis Eigenmann and Norris 1900 (Siluriformes: Heptapteridae) in Argentina,JOURNAL OF FISH BIOLOGY,3,2022
Hybridization and Transgressive Evolution Generate Diversity in an Adaptive Radiation of Anolis Lizards,SYSTEMATIC BIOLOGY,3,2023
Reassortment and concerted evolution in Banana bunchy top virus genomes,JOURNAL OF VIROLOGY,55,2007
Jerarca: Efficient Analysis of Complex Networks Using Hierarchical Clustering,PLOS ONE,44,2010
Assembly of forest communities across East Asia - insights from phylogenetic community structure and species pool scaling,SCIENTIFIC REPORTS,23,2015
How to Tackle Phylogenetic Discordance in Recent and Rapidly Radiating Groups? Developing a Workflow Using Loricaria (Asteraceae) as an Example,FRONTIERS IN PLANT SCIENCE,15,2022
Quartet decomposition server: a platform for analyzing phylogenetic trees,BMC BIOINFORMATICS,7,2012
"Histology and affinity of anaspids, and the early evolution of the vertebrate dermal skeleton",PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,46,2016
"Population structure, mitochondrial polyphyly and the repeated loss of human biting ability in anopheline mosquitoes from the southwest Pacific",MOLECULAR ECOLOGY,25,2012
"Evolutionary and biogeographic relationships of related Ranunculus taxa: dispersal, vicariance and pseudovicariance as mechanisms of change",PLANT ECOLOGY & DIVERSITY,2,2017
Evidence for homologous recombination in Chikungunya Virus,MOLECULAR PHYLOGENETICS AND EVOLUTION,14,2015
Horizontal gene transfer in aminoacyl-tRNA synthetases including leucine-specific subtypes,JOURNAL OF MOLECULAR EVOLUTION,17,2006
Networks of interactions in the secondary and tertiary structure of ribosomal RNA,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,2,2007
Phylogenomic analyses reveal intractable evolutionary history of a temperate bamboo genus (Poaceae: Bambusoideae),PLANT DIVERSITY,13,2019
GENETIC RELATIONSHIP AND DIVERSITY ANALYSIS IN FOUR BUFFALO BREEDS OF PAKISTAN,PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,5,2020
Whole-genome analyses disentangle reticulate evolution of primroses in a biodiversity hotspot,NEW PHYTOLOGIST,4,2023
HAPLOTYPE DIVERSITY OF STEINERNEMA FELTIAE (NEMATODA: STEINERNEMATIDAE) IN EURASIA,REDIA-GIORNALE DI ZOOLOGIA,0,2020
Synonymous and nonsynonymous distances help untangle convergent evolution and recombination,STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY,3,2015
"Morphological and molecular characterization of the name-bearing type species Rimaleptus binucleatus (Kahl, 1931), with a phylogenetic re-analysis of dileptid evolutionary history (Ciliophora: Litostomatea: Rhynchostomatia)",EUROPEAN JOURNAL OF PROTISTOLOGY,9,2014
Molecular epidemiology of Leptospira noguchii reveals important insights into a One Health context,TRANSBOUNDARY AND EMERGING DISEASES,10,2020
Seasonal changes driving shifts in microbial community assembly and species coexistence in an urban river,SCIENCE OF THE TOTAL ENVIRONMENT,5,2023
Global protein interactome exploration through mining genome-scale data in Arabidopsis thaliana,BMC GENOMICS,11,2010
Comparative transcriptomics and genomic patterns of discordance in Capsiceae (Solanaceae),MOLECULAR PHYLOGENETICS AND EVOLUTION,15,2018
Whole-genome discovery of transcription factor binding sites by network-level conservation,GENOME RESEARCH,92,2004
Reconstructing evolution of natural languages: Complexity and parameterized algorithms,"COMPUTING AND COMBINATORICS, PROCEEDINGS",3,2006
Studying the Complex Communities of Ants and Their Symbionts Using Ecological Network Analysis,"ANNUAL REVIEW OF ENTOMOLOGY, VOL 61",44,2016
"Diversity, Co-occurrence and Implications of Fungal Communities in Wastewater Treatment Plants",SCIENTIFIC REPORTS,61,2019
Learning dynamical information from static protein and sequencing data,NATURE COMMUNICATIONS,13,2019
Genomic analysis of Poxviridae and exploring qualified gene sequences for phylogenetics,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,9,2021
Evolution of the Max and Mlx Networks in Animals,GENOME BIOLOGY AND EVOLUTION,33,2011
Regulation of stress-induced inositol metabolism in plants: a phylogenetic search for conserved cis elements,JOURNAL OF PLANT BIOCHEMISTRY AND BIOTECHNOLOGY,6,2021
Predicting functional gene links from phylogenetic-statistical analyses of whole genomes,PLOS COMPUTATIONAL BIOLOGY,162,2005
Sampling bias and incorrect rooting make phylogenetic network tracing of SARS-COV-2 infections unreliable,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,48,2020
Ethical tensions in the use of phylogenetic analysis of HIV transmission networks: a scoping review,HIV MEDICINE,0,2018
Bacterial generalists in earthworm gut had stronger environmental adaptation potential and higher network vulnerability under antimony stress,JOURNAL OF CLEANER PRODUCTION,1,2022
"The influence of phylogeny, social style, and sociodemographic factors on macaque social network structure",AMERICAN JOURNAL OF PRIMATOLOGY,46,2018
&ITSigTree&IT: A Microbial Community Analysis Tool to Identify and Visualize Significantly Responsive Branches in a Phylogenetic Tree,COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL,3,2017
Most Genomic Loci Misrepresent the Phylogeny of an Avian Radiation Because of Ancient Gene Flow,SYSTEMATIC BIOLOGY,37,2021
Using phylogenomics to resolve mega-families: An example from Compositae,JOURNAL OF SYSTEMATICS AND EVOLUTION,59,2015
Comparing Mycobacterium tuberculosis genomes using genome topology networks,BMC GENOMICS,4,2015
Whole-genome identification and salt- and ABA-induced expression trends of the Nicotiana tabacum CKX gene family,PLANT BIOTECHNOLOGY REPORTS,1,2023
PHYLOGENETIC RELATEDNESS WITHIN THE GENUS ERYSIPHE ESTIMATED WITH MORPHOLOGICAL-CHARACTERISTICS,MYCOLOGIA,10,1995
"Cryptic diversity revealed in the leaf-toed geckoAsaccus montanus (Squamata, Phyllodactylidae) from the Hajar Mountains of Arabia",JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,7,2019
Highly differentiated loci resolve phylogenetic relationships in the Bean Goose complex,BMC ECOLOGY AND EVOLUTION,1,2023
Incomplete lineage sorting and gene flow within Allium (Amayllidaceae),MOLECULAR PHYLOGENETICS AND EVOLUTION,0,2024
Evolution of protein structures and interactions from the perspective of residue contact networks,CURRENT OPINION IN STRUCTURAL BIOLOGY,34,2013
Alignment-free protein interaction network comparison,BIOINFORMATICS,40,2014
Evolution of primate ABO blood group genes and their homologous genes,MOLECULAR BIOLOGY AND EVOLUTION,125,1997
The quest for orthologs: finding the corresponding gene across genomes,TRENDS IN GENETICS,231,2008
Introgression Underlies Phylogenetic Uncertainty But Not Parallel Plumage Evolution in a Recent Songbird Radiation,SYSTEMATIC BIOLOGY,0,2023
Automatic selection of reference taxa for protein-protein interaction prediction with phylogenetic profiling,BIOINFORMATICS,12,2012
Introducing a general class of species diversification models for phylogenetic trees,STATISTICA NEERLANDICA,3,2020
"Forensic characteristics and phylogenetic analysis of the Chinese Han population from Chongqing Municipality, Southwest China",LEGAL MEDICINE,0,2021
Labyrinthula diatomea n. sp.-A Labyrinthulid Associated with Marine Diatoms,JOURNAL OF EUKARYOTIC MICROBIOLOGY,7,2020
Computational identification of reassortments in avian influenza viruses,AVIAN DISEASES,17,2007
Determinants of community structure in the global plankton interactome,SCIENCE,691,2015
Resistance and phylogenetic analysis in HCV-2c infected patients within the Italian network VIRONET-C,JOURNAL OF HEPATOLOGY,0,2020
Phylogenomic analyses of the Neotropical Artocarpeae (Moraceae) reveal a history of introgression and support the reinstatement of Acanthinophyllum,MOLECULAR PHYLOGENETICS AND EVOLUTION,0,2023
Transcriptome-based identification and expression analysis of the glutathione S -transferase (GST) family in tree peony reveals a likely role in anthocyanin transport,HORTICULTURAL PLANT JOURNAL,9,2022
"Molecular investigation of HIV-1 cross-group transmissions during an outbreak among people who inject drugs (2011-2014) in Athens, Greece",INFECTION GENETICS AND EVOLUTION,11,2018
The origins and evolutionary history of human non-coding RNA regulatory networks,JOURNAL OF BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,6,2017
Analysis of the CtrA Pathway in Magnetospirillum Reveals an Ancestral Role in Motility in Alphaproteobacteria,JOURNAL OF BACTERIOLOGY,47,2012
"'Bureaucratic' set systems, and their role in phylogenetics",APPLIED MATHEMATICS LETTERS,0,2012
"Patterns of male-specific inter-population divergence in Europe, West Asia and North Africa",ANNALS OF HUMAN GENETICS,40,2000
The evolution of plant regulatory networks:: what Arabidopsis cannot say for itself,CURRENT OPINION IN PLANT BIOLOGY,34,2007
In silico analysis and experimental validation of azelastine hydrochloride (N4) targeting sodium taurocholate co-transporting polypeptide (NTCP) in HBV therapy,CELL PROLIFERATION,20,2014
Untangling complex histories of genome mergings in high polyploids,SYSTEMATIC BIOLOGY,86,2007
Complex Patterns of Diversification in the Gray Zone of Speciation: Model-Based Approaches Applied to Patagonian Liolaemid Lizards (Squamata: Liolaemus kingii clade),SYSTEMATIC BIOLOGY,3,2023
Probability of outbreaks and cross-border dissemination of the emerging pathogen: a genomic survey of Elizabethkingia meningoseptica,MICROBIOLOGY SPECTRUM,0,2023
What Hides in the Heights? The Case of the Iberian Endemism Bromus picoeuropeanus,PLANTS-BASEL,0,2023
AQPX-cluster aquaporins and aquaglyceroporins are asymmetrically distributed in trypanosomes,COMMUNICATIONS BIOLOGY,4,2021
Use of logic relationships to decipher protein network organization,SCIENCE,138,2004
Discovery of uncharacterized cellular systems by genome-wide analysis of functional linkages,NATURE BIOTECHNOLOGY,190,2003
Evolution of networks and sequences in eukaryotic cell cycle control,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,132,2011
Phyletic groups on networks,CLADISTICS,3,2014
"A nuclear phylogenetic analysis: SNPs, indels and SSRs deliver new insights into the relationships in the 'true citrus fruit trees' group (Citrinae, Rutaceae) and the origin of cultivated species",ANNALS OF BOTANY,129,2013
Molecular and morphological incongruence in European species of Isothecium (Bryophyta),MOLECULAR PHYLOGENETICS AND EVOLUTION,53,2007
The Near East as a cradle of biodiversity: A phylogeography of banded newts (genus Ommatotriton) reveals extensive inter- and intraspecific genetic differentiation,MOLECULAR PHYLOGENETICS AND EVOLUTION,47,2017
"Contrasting the population genetic structure of two velvet worm taxa (Onychophora : Peripatopsidae : Peripatopsis) in forest fragments along the south-eastern Cape, South Africa",INVERTEBRATE SYSTEMATICS,13,2017
The complexity of comparing multiply-labelled trees by extending phylogenetic-tree metrics,THEORETICAL COMPUTER SCIENCE,8,2019
Disentangling the infrageneric classification of megadiverse taxa from Mata Atlantica: Phylogeny of Miconia section Chaenanthera (Melastomataceae: Miconieae),TAXON,10,2018
Can comprehensive background knowledge be incorporated into substitution models to improve phylogenetic analyses? A case study on major arthropod relationships,BMC EVOLUTIONARY BIOLOGY,111,2009
Occurrence and phylogenetic analysis of Pseudanabaena sp. producing 2-methylisoborneol in drinking water source of South Korea,ENVIRONMENTAL MICROBIOLOGY REPORTS,6,2022
"The Chaos Prevails: Molecular Phylogeny of the Haptoria (Ciliophora, Litostomatea)",PROTIST,43,2014
"Genetic divergence and evidence for sympatric host-races in the highly polyphagous brown tail moth, Euproctis chrysorrhoea (Lepidoptera: Erebidae)",EVOLUTIONARY ECOLOGY,14,2014
"Spore ornamentation of Haplosporidium nelsoni and Haplosporidium costale (Haplosporidia), and incongruence of molecular phylogeny and spore ornamentation in the haplosporidia",JOURNAL OF PARASITOLOGY,25,2006
Prevalence and Molecular Characterisation of Blastocystis sp. Infecting Free-Ranging Primates in Colombia,PATHOGENS,2,2023
MANET:: tracing evolution of protein architecture in metabolic networks,BMC BIOINFORMATICS,48,2006
Sequence analysis and evaluation of the NS3/A gene region of bluetongue virus isolates from South Africa,ARCHIVES OF VIROLOGY,1,2016
"HIV Drug Resistance and Transmission Networks Among a Justice-Involved Population at the Time of Community Reentry in Washington, DC",AIDS RESEARCH AND HUMAN RETROVIRUSES,1,2021
Histoplasma capsulatum Isolated from Tadarida brasiliensis Bats Captured in Mexico Form a Sister Group to North American Class 2 Clade,JOURNAL OF FUNGI,7,2021
HIV transmission clusters among injecting drug users in Romania,ROMANIAN BIOTECHNOLOGICAL LETTERS,7,2017
Mapping of HIV-1C Transmission Networks Reveals Extensive Spread of Viral Lineages Across Villages in Botswana Treatment-as-Prevention Trial,JOURNAL OF INFECTIOUS DISEASES,7,2020
Identification and Characterization of the Core Region of ZmDi19-5 Promoter Activity and Its Upstream Regulatory Proteins,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,1,2022
RESOLVING CRYPTIC SPECIES COMPLEXES IN MARINE PROTISTS: PHYLOGENETIC HAPLOTYPE NETWORKS MEET GLOBAL DNA METABARCODING DATASETS,PHYCOLOGIA,0,2021
The robust phylogeny of Korean wild boar (Sus scrofa coreanus) using partial D-loop sequence of mtDNA,MOLECULES AND CELLS,28,2009
On the Species Delimitation of the Maddenia Group of Prunus (Rosaceae): Evidence From Plastome and Nuclear Sequences and Morphology,FRONTIERS IN PLANT SCIENCE,12,2021
Bayesian Inference of Species Networks from Multilocus Sequence Data,MOLECULAR BIOLOGY AND EVOLUTION,124,2018
A Probabilistic Model of Neutral and Selective Dynamics of Protein Network Evolution,JOURNAL OF COMPUTATIONAL BIOLOGY,1,2013
Constructing and Drawing Regular Planar Split Networks,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,8,2012
"Distinguishing terminal monophyletic groups from reticulate taxa: Performance of phenetic, tree-based, and network procedures",SYSTEMATIC BIOLOGY,37,2007
