Article Title,Source Title,"Times Cited, All Databases",Publication Year
Next-generation lineage discovery: A case study of tuberous Claytonia L.,AMERICAN JOURNAL OF BOTANY,17,2018
Fairway patch - a serious emerging disease of couch (syn. bermudagrass) [Cynodon dactylon] and kikuyu (Pennisetum clandestinum) turf in Australia caused by Phialocephala bamuru PTW Wong & C. Dong sp nov.,AUSTRALASIAN PLANT PATHOLOGY,9,2015
"Arenimonas subflava sp nov., isolated from a drinking water network, and emended description of the genus Arenimonas",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,19,2015
"Duplicated zebrafish co-orthologs of parathyroid hormone-related peptide (PTHrP, Pthlh) play different roles in craniofacial skeletogenesis",JOURNAL OF ENDOCRINOLOGY,35,2012
CaREM1.4 interacts with CaRIN4 to regulate Ralstonia solanacearum tolerance by triggering cell death in pepper,HORTICULTURE RESEARCH,1,2023
"The cellular 3D printer of a marine bristle worm-chaetogenesis in Platynereis dumerilii (Audouin & Milne Edwards, 1834) (Annelida)",CELL AND TISSUE RESEARCH,0,2023
Identification and function analysis of bHLH genes in response to cold stress in sweetpotato,PLANT PHYSIOLOGY AND BIOCHEMISTRY,21,2021
Cellulose-induced shifts in microbial communities and microbial interactions in an anoxic/aerobic membrane bioreactor,JOURNAL OF WATER PROCESS ENGINEERING,13,2021
Genome-wide characterization and expression analysis of pseudo-response regulator gene family in wheat,MOLECULAR BIOLOGY REPORTS,7,2021
COMPARISON OF MORPHOLOGICAL CHARACTERISTICS AND MATERNAL GENETIC LINEAGES IN THAI DWARF AND SWAMP BUFFALOES (BUBALUS B. CARABANENSIS),BUFFALO BULLETIN,1,2021
ILS-Aware Analysis of Low-Homoplasy Retroelement Insertions: Inference of Species Trees and Introgression Using Quartets,JOURNAL OF HEREDITY,27,2020
Genetic Diversity and Population Structure of Natural Lycorma delicatula (White) (Hemiptera: Fulgoridea) Populations in China as Revealed by Microsatellite and Mitochondrial Markers,INSECTS,6,2019
Genome assembly provides insights into the genome evolution and flowering regulation of orchardgrass,PLANT BIOTECHNOLOGY JOURNAL,55,2020
Changes in selection intensity on the mitogenome of subterranean and fossorial rodents respective to aboveground species,MAMMALIAN GENOME,7,2018
Structure and evolution of ENTH and VHS/ENTH-like domains in tepsin,TRAFFIC,8,2017
How well are biodiversity drivers reflected in protected areas? A representativeness assessment of the geohistorical gradients that shaped endemic flora in Japan,ECOLOGICAL RESEARCH,15,2017
The WRKY transcription factors in the diploid woodland strawberry Fragaria vesca: Identification and expression analysis under biotic and abiotic stresses,PLANT PHYSIOLOGY AND BIOCHEMISTRY,65,2016
Sequence analysis of mitochondrial ND1 gene can reveal the genetic structure and origin of Bactrocera dorsalis SS,BMC EVOLUTIONARY BIOLOGY,15,2014
OsCAD2 is the major CAD gene responsible for monolignol biosynthesis in rice culm,PLANT CELL REPORTS,88,2012
"Genetic Differentiation of Troides aeacus formosanus (Lepidoptera: Papilionidae), Based on Cytochrome Oxidase I Sequences and Amplified Fragment Length Polymorphism",ANNALS OF THE ENTOMOLOGICAL SOCIETY OF AMERICA,6,2010
Genomic Instability in Regions Adjacent to a Highly Conserved pch Prophage in Escherichia coli O157:H7 Generates Diversity in Expression Patterns of the LEE Pathogenicity Island,JOURNAL OF BACTERIOLOGY,21,2009
Historical and current introgression in a Mesoamerican hummingbird species complex: a biogeographic perspective,PEERJ,24,2016
"Population Analysis Based on Mito-nuclear Sequences: Implication of Dugesia japonica Decline in Taihang Mountains, China",PAKISTAN JOURNAL OF ZOOLOGY,2,2023
Genomic Insights Into Molecular Characteristics and Phylogenetic Linkage Between the Cases of Carbapenem-Resistant Klebsiella pneumoniae from a Non-tertiary Hospital in China: A Cohort Study,JUNDISHAPUR JOURNAL OF MICROBIOLOGY,0,2023
