Article Title,Source Title,"Times Cited, All Databases",Publication Year
Species identification of two Loliginidae cryptic species in China Seas with morphological and molecular methods,REGIONAL STUDIES IN MARINE SCIENCE,0,2022
"Towards mapping biodiversity from above: Can fusing lidar and hyperspectral remote sensing predict taxonomic, functional, and phylogenetic tree diversity in temperate forests?",GLOBAL ECOLOGY AND BIOGEOGRAPHY,15,2022
Systematic Analysis and Expression Profiles of the 4-Coumarate: CoA Ligase (4CL) Gene Family in Pomegranate (Punica granatum L.),INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,17,2022
The Eco-Evo Mandala: Simplifying Bacterioplankton Complexity into Ecohealth Signatures,ENTROPY,5,2021
Assessing the diversity and distribution of potential intermediate hosts snails for urogenital schistosomiasis: Bulinusspp. (Gastropoda: Planorbidae) of Lake Victoria,PARASITES & VECTORS,7,2020
Sustainable electric power generation from live anaerobic digestion of sugar industry effluents using microbial fuel cells,JOURNAL OF MATERIALS CHEMISTRY A,37,2020
Genome-scale identification and characterization of moonlighting proteins,BIOLOGY DIRECT,36,2014
BBProF: An Asynchronous Application Server for Rapid Identification of Proteins Associated with Bacterial Bioleaching,GEOMICROBIOLOGY JOURNAL,7,2014
Genetic diversity and maternal origin of Bangladeshi chicken,MOLECULAR BIOLOGY REPORTS,21,2013
A genomic view of the sea urchin nervous system,DEVELOPMENTAL BIOLOGY,255,2006
Closing the gap:: Comparative approaches to studying insect development in the red flour beetle Tribolium castaneum and other short and intermediate germ insects,CURRENT GENOMICS,5,2005
"Phylogeography, genetic structure and diversity in the endangered bearded vulture (Gypaetus barbatus, L.) as revealed by mitochondrial DNA",MOLECULAR ECOLOGY,133,2004
Craniid brachiopods: aspects of clade structure and distribution reflect continental drift (Brachiopoda: Craniiformea),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,14,2014
"The epidemiological characteristics of dengue in high-risk areas of China, 2013-2016",PLOS NEGLECTED TROPICAL DISEASES,6,2021
Classification and phylogeny for the annotation of novel eukaryotic GNAT acetyltransferases,PLOS COMPUTATIONAL BIOLOGY,7,2020
Use of whole-genome sequencing to identify clusters of Shigella flexneri associated with sexual transmission in men who have sex with men in England: a validation study using linked behavioural data,MICROBIAL GENOMICS,17,2019
"Origin and higher-level diversification of acariform mites - evidence from nuclear ribosomal genes, extensive taxon sampling, and secondary structure alignment",BMC EVOLUTIONARY BIOLOGY,56,2015
"Haplotypes of Dirofilaria repens from Poland and selected countries of Central, North-Eastern Europe and the Middle East: An evaluation on the relation between the genetic diversity and the geographic distribution of the fast-spreading parasite",VETERINARY PARASITOLOGY,7,2023
TrmB Family Transcription Factor as a Thiol-Based Regulator of Oxidative Stress Response,MBIO,7,2022
"Genomics-informed responses in the elimination of COVID-19 in Victoria, Australia: an observational, genomic epidemiological study",LANCET PUBLIC HEALTH,40,2021
The evolution of ovary-biased gene expression in Hawaiian Drosophila,PLOS GENETICS,1,2023
Comparative Expression Analysis of Rice and Arabidopsis Peroxiredoxin Genes Suggests Conserved or Diversified Roles Between the Two Species and Leads to the Identification of Tandemly Duplicated Rice Peroxiredoxin Genes Differentially Expressed in Seeds,RICE,10,2017
"Non-disclosed men who have sex with men within local MSM HIV-1 genetic transmission networks in Guangyuan, China",FRONTIERS IN PUBLIC HEALTH,2,2022
Discovering the Molecular Determinants of Phaeobacter inhibens Susceptibility to Phaeobacter Phage MD18,MSPHERE,5,2020
"Community Structure, Species Variation, and Potential Functions of Rhizosphere-Associated Bacteria of Different Winter Wheat (Triticum aestivum) Cultivars",FRONTIERS IN PLANT SCIENCE,126,2017
Cloning of a novel interleukin (IL)-20-like gene in rainbow trout Oncorhynchus mykiss gives an insight into the evolution of the IL-10 family,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,46,2010
Cryptic diversity in Afro-tropical lowland forests: The systematics and biogeography of the avian genus Bleda,MOLECULAR PHYLOGENETICS AND EVOLUTION,32,2016
"Brief bioinformatics identification of cotton bZIP transcription factors family from Gossypium hirsutum, Gossypium arboreum and Gossypium raimondii",PLANT BIOTECHNOLOGY REPORTS,3,2021
Molecular cloning and functional characterization of two isoforms of dermonecrotic toxin from Loxosceles intermedia (Brown spider) venom gland,BIOCHIMIE,82,2006
Saccharomyces cerevisiae boulardii accelerates intestinal microbiota maturation and is correlated with increased secretory IgA production in neonatal dairy calves,FRONTIERS IN MICROBIOLOGY,2,2023
Genetic Diversity of the Critically Endangered Big-Headed Turtle (Platysternon megacephalum) Based on Wild and Traded Samples: Implications for Conservation,DIVERSITY-BASEL,0,2023
"Transcriptome-wide characterization, evolutionary analysis, and expression pattern analysis of the NF-Y transcription factor gene family and salt stress response in Panax ginseng",BMC PLANT BIOLOGY,10,2022
Resistance analysis and treatment outcomes in hepatitis C virus genotype 3-infected patients within the Italian network VIRONET-C,LIVER INTERNATIONAL,12,2021
Genome-Wide Identification of PIFs in Grapes (Vitis vinifera L.) and Their Transcriptional Analysis under Lighting/Shading Conditions,GENES,23,2018
Robustness of birth-death and gain models for inferring evolutionary events,BMC GENOMICS,1,2014
"Phylogeography and post-glacial colonization patterns of the rainbow darter, Etheostoma caeruleum (Teleostei: Percidae)",JOURNAL OF BIOGEOGRAPHY,73,2006
Tabula rasa in the Patagonian Channels II: The cushion peat bog species Astelia pumila (Asteliaceae) and Donatia fascicularis (Stylidiaceae) survived the last glacial in south-central Chile,JOURNAL OF BIOGEOGRAPHY,3,2019
"Genetic variation of the greenhouse whitefly, Trialeurodes vaporariorum (Hemiptera: Aleyrodidae), among populations from Serbia and neighbouring countries, as inferred from COI sequence variability",BULLETIN OF ENTOMOLOGICAL RESEARCH,20,2014
Beyond Antigenic Match: Possible Agent-Host and Immuno-epidemiological Influences on Influenza Vaccine Effectiveness During the 2015-2016 Season in Canada,JOURNAL OF INFECTIOUS DISEASES,80,2017
Networking in microbes: conjugative elements and plasmids in the genus Alteromonas,BMC GENOMICS,16,2017
