Article Title,Source Title,"Times Cited, All Databases",Publication Year
Pattern of genetic variation of yellow catfish Pelteobagrus fulvidraco Richardso in Huaihe river and the Yangtze river revealed using mitochondrial DNA control region sequences,MOLECULAR BIOLOGY REPORTS,5,2014
"Conexibacter woesei gen. nov., sp nov., a novel representative of a deep evolutionary line of descent within the class Actinobacteria",INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,96,2003
Distribution of Bathyarchaeota Communities Across Different Terrestrial Settings and Their Potential Ecological Functions,SCIENTIFIC REPORTS,88,2017
DISCOMARK: nuclear marker discovery from orthologous sequences using draft genome data,MOLECULAR ECOLOGY RESOURCES,6,2017
The Class D β-lactamase family: residues governing the maintenance and diversity of function,PROTEIN ENGINEERING DESIGN & SELECTION,22,2011
Phylogenetic relationships and genetic differentiation of two Salamandrella species as revealed via COI gene from Northeastern China,PLOS ONE,0,2024
Dispersion routes of the main vectors of human malaria in the Americas: Genetic evidence from the mitochondrial COI gene,JOURNAL OF VECTOR BORNE DISEASES,0,2022
Phylogenomic data reveal reticulation and incongruence among mitochondrial candidate species in Dusky Salamanders (Desmognathus),MOLECULAR PHYLOGENETICS AND EVOLUTION,33,2020
A new staphylococcal sigma factor in the conserved gene cassette: functional significance and implication for the evolutionary processes,GENES TO CELLS,86,2003
Biological constraints on neural network models of cognitive function,NATURE REVIEWS NEUROSCIENCE,56,2021
Exploring the expression and preliminary function of chicken regulator of G protein signalling 3 (RGS3) gene in follicular development,BRITISH POULTRY SCIENCE,1,2022
Molecular typing of the recently expanding subtype B HIV-1 epidemic in Romania: Evidence for local spread among MSMs in Bucharest area,INFECTION GENETICS AND EVOLUTION,18,2012
Comprehensive analysis of bZIP transcription factors uncovers their roles during dimorphic floret differentiation and stress response in Cleistogenes songorica,BMC GENOMICS,16,2019
Ecophenotypic plasticity leads to extraordinary gastropod shells found on the Roof of the World,ECOLOGY AND EVOLUTION,25,2015
"Genetic Diversity in Marine Planktonic Ciliates (Alveolata, Ciliophora) Suggests Distinct Geographical Patterns - Data From Chinese and European Coastal Waters",FRONTIERS IN MARINE SCIENCE,7,2021
Genetic Diversity of Amylomyces rouxii from Ragi tapai in Java Island Based on Ribosomal Regions ITS1/ITS2 and D1/D2,MYCOBIOLOGY,1,2022
Evidence from Internally Transcribed Spacer Sequence Analysis of Soybean Strains that Extant Bradyrhizobium spp. Are Likely the Products of Reticulate Evolutionary Events,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,12,2009
A phylogenetic network of wild Ussurian pears (Pyrus ussuriensis Maxim.) in China revealed by hypervariable regions of chloroplast DNA,TREE GENETICS & GENOMES,22,2013
Considering species functional and phylogenetic rarity in the conservation of fish biodiversity,DIVERSITY AND DISTRIBUTIONS,0,2024
Detection of Rift Valley Fever Virus Lineage H From South Africa Through the Syndromic Sentinel Surveillance Network in Senegal,OPEN FORUM INFECTIOUS DISEASES,8,2022
"Detecting reticulate relationships among diploid Leucanthemum Mill. (Compositae, Anthemideae) taxa using multilocus species tree reconstruction methods and AFLP fingerprinting",MOLECULAR PHYLOGENETICS AND EVOLUTION,31,2015
Inferring Historical Introgression with Deep Learning,SYSTEMATIC BIOLOGY,1,2023
Phylotranscriptomics reveals the reticulate evolutionary history of a widespread diatom species complex,JOURNAL OF PHYCOLOGY,4,2022
PIRSF: family classification system at the Protein Information Resource,NUCLEIC ACIDS RESEARCH,189,2004
"Diversity and assembly of planktonic protist communities in the Jeju Strait, Korea",FRONTIERS IN MARINE SCIENCE,1,2023
Molecular Characterization of Infectious Bronchitis Virus Strain HH06 Isolated in a Poultry Farm in Northeastern China,FRONTIERS IN VETERINARY SCIENCE,4,2021
Comparative functional pan-genome analyses to build connections between genomic dynamics and phenotypic evolution in polycyclic aromatic hydrocarbon metabolism in the genus Mycobacterium,BMC EVOLUTIONARY BIOLOGY,38,2015
