Article Title,Source Title,"Times Cited, All Databases",Publication Year
Stream Hydrological Fragmentation Drives Bacterioplankton Community Composition,PLOS ONE,61,2013
Unique determination of some homoplasies at hybridization events,BULLETIN OF MATHEMATICAL BIOLOGY,12,2007
Genetic diversity and origin of Chinese cattle revealed by mtDNA D-loop sequence variation,MOLECULAR PHYLOGENETICS AND EVOLUTION,133,2006
Detection of intra-family coronavirus genome sequences through graphical representation and artificial neural network,EXPERT SYSTEMS WITH APPLICATIONS,4,2022
Object Weighting: A New Clustering Approach to Deal with Outliers and Cluster Overlap in Computational Biology,IEEE-ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS,11,2021
Alternative splicing and duplication of PI-like genes in maize,GENE,0,2021
"An alkali-tolerant phospholipase D from Sphingobacterium thalpophilum 2015: Gene cloning, overproduction and characterization",JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,0,2021
Understanding disclosed and cryptic HIV transmission risk via genetic analysis: what are we missing and when does it matter?,CURRENT OPINION IN HIV AND AIDS,11,2019
Isolation and expression profiles of gibberellin metabolism genes in developing male and female cones of Pinus tabuliformis,FUNCTIONAL & INTEGRATIVE GENOMICS,26,2014
Evolutionary trend of foot-and-mouth disease virus in Hong Kong,VETERINARY MICROBIOLOGY,10,2012
"Nuclear gene phylogeography reveals the historical legacy of an ancient inland sea on lineages of the western pond turtle, Emys marmorata in California",MOLECULAR ECOLOGY,53,2010
"Genome-Wide Phylogenetic Comparative Analysis of Plant Transcriptional Regulation: A Timeline of Loss, Gain, Expansion, and Correlation with Complexity",GENOME BIOLOGY AND EVOLUTION,144,2010
"Phylogeography of the subterranean rodent Spalacopus cyanus (Caviomorpha, Octodontidae)",JOURNAL OF MAMMALOGY,18,2008
The molecular evolution of the interleukin-1 family of cytokines; IL-18 in teleost fish,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,154,2004
"Genome-Wide Identification, Expression, and Molecular Characterization of the CONSTANS-like Gene Family in Seven Orchid Species",INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,0,2023
"Transcriptome-wide identification, characterization, and expression analysis of R2R3-MYB gene family during lignin biosynthesis in Chinese cedar (Cryptomeria fortunei Hooibrenk)",INDUSTRIAL CROPS AND PRODUCTS,7,2022
Cytochrome c oxidase subunit 1 gene reveals species composition and phylogenetic relationships of Oesophagostomum spp. infecting pigs in northeastern Brazil,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1,2022
'CandidatusMycoplasma haemosphiggurus' a novel haemoplasma species in orange-spined hairy dwarf porcupines (Sphiggurus villosus) from Southern Brazil,TRANSBOUNDARY AND EMERGING DISEASES,6,2021
Genomic and Transcriptional Analysis of Banana Ovate Family Proteins Reveals Their Relationship with Fruit Development and Ripening,BIOCHEMICAL GENETICS,5,2020
"Effects of Isolation by Continental Islands in the Seto Inland Sea, Japan, on Genetic Diversity of the Large Japanese Field Mouse, Apodemus speciosus (Rodentia: Muridae), Inferred from the Mitochondrial Dloop Region",ZOOLOGICAL SCIENCE,11,2017
"Comparative phylogeography of meroplanktonic species, Aurelia spp. and Rhizostoma pulmo (Cnidaria: Scyphozoa) in European Seas",HYDROBIOLOGIA,45,2012
Evidence for Transcript Networks Composed of Chimeric RNAs in Human Cells,PLOS ONE,53,2012
"The somatic musculature of Bryceella stylata (Milne, 1886) (Rotifera: Proalidae) as revealed by confocal laser scanning microscopy with additional new data on its trophi and overall morphology",ZOOLOGISCHER ANZEIGER,21,2009
Genetic analysis of the Hispano-Breton heavy horse,ANIMAL GENETICS,18,2008
Evolutionary History and Genetic Variation of Zika Virus: Connection Between Thailand Zika Viruses and Global Outbreaks Strains,VECTOR-BORNE AND ZOONOTIC DISEASES,0,2024
"Molecular identification and genetic diversity analysis of Chocolate mahseer (Neolissochilus hexagonolepis) populations of Northeast India, using mitochondrial DNA markers",MITOCHONDRIAL DNA PART A,8,2019
