Article Title,Source Title,"Times Cited, All Databases",Publication Year
Discovery of novel glycoside hydrolases from C-glycoside-degrading bacteria using sequence similarity network analysis,JOURNAL OF MICROBIOLOGY,1,2021
Taxonomic investigation of the genus Ablepharus (Sauria; Scincidae) with molecular and morphological methods in Anatolian populations,TURKISH JOURNAL OF ZOOLOGY,7,2020
Metagenomic characterization of biofilter microbial communities in a full-scale drinking water treatment plant,WATER RESEARCH,115,2018
Capsid protein evolution and comparative phylogeny of novel porcine parvoviruses,MOLECULAR PHYLOGENETICS AND EVOLUTION,34,2013
Characterization of WRKY co-regulatory networks in rice and Arabidopsis,BMC PLANT BIOLOGY,155,2009
RegPrecise 3.0-A resource for genome-scale exploration of transcriptional regulation in bacteria,BMC GENOMICS,316,2013
Molecular characterization of non-polio enteroviruses isolated from acute flaccid paralysis patients in Uganda,JOURNAL OF MEDICAL VIROLOGY,7,2021
Identification of the bHLH gene family in Dracaena cambodiana reveals candidate genes involved in flavonoid biosynthesis,INDUSTRIAL CROPS AND PRODUCTS,31,2020
Mass extinctions drove increased global faunal cosmopolitanism on the supercontinent Pangaea,NATURE COMMUNICATIONS,57,2017
Analysis of opo cis-regulatory landscape uncovers Vsx2 requirement in early eye morphogenesis,NATURE COMMUNICATIONS,8,2015
"Are there true cosmopolitan sipunculan worms? A genetic variation study within Phascolosoma perlucens (Sipuncula, Phascolosomatidae)",MARINE BIOLOGY,44,2010
"A mitogen-activated protein kinase, AhMPK6 from peanut localizes to the nucleus and also induces defense responses upon transient expression in tobacco",PLANT PHYSIOLOGY AND BIOCHEMISTRY,33,2010
"Genetic diversity of the Caucasian Parsley Frog, Pelodytes caucasicus (Anura: Pelodytidae)",ZOOLOGY IN THE MIDDLE EAST,1,2022
The baboon in epilepsy research: Revelations and challenges,EPILEPSY & BEHAVIOR,4,2021
"Mycobacterium tuberculosis Complex Lineage 3 as Causative Agent of Pulmonary Tuberculosis, Eastern Sudan",EMERGING INFECTIOUS DISEASES,12,2020
Bacterial and protist community changes during a phytoplankton bloom,LIMNOLOGY AND OCEANOGRAPHY,22,2016
"Description and palaeobiology of a new species of Libycosaurus (Cetartiodactyla, Anthracotheriidae) from the Late Miocene of Toros-Menalla, northern Chad",JOURNAL OF SYSTEMATIC PALAEONTOLOGY,20,2014
Host switch leads to emergence of Plasmodium vivax malaria in humans,MOLECULAR BIOLOGY AND EVOLUTION,190,2005
Mitochondrial DNA diversity in tribal and caste groups of maharashtra (India) and its implication on their genetic origins,ANNALS OF HUMAN GENETICS,12,2004
"Southernmost record of Rhachotropis aculeata (Lepechin, 1780) (Crustacea: Amphipoda: Eusiridae) in the Pacific Ocean with notes on the geographical genetic divergence",MARINE BIODIVERSITY,0,2023
Genetic evidence from mitochondrial DNA corroborates the origin of Tibetan chickens,PLOS ONE,35,2017
A NEW EDIACARAN FOSSIL WITH A NOVEL SEDIMENT DISPLACIVE LIFE HABIT,JOURNAL OF PALEONTOLOGY,23,2014
CoMoDis:: composite motif discovery in mammalian genomes,NUCLEIC ACIDS RESEARCH,10,2007
New perspectives on the role of constraints in evolution,RIVISTA DI BIOLOGIA-BIOLOGY FORUM,4,1999
